Word,Definition
proselyte," a person who has changed from one opinion, religious belief, sect, or the like, to another; convert."
tyro, a beginner in learning anything; novice.
burgeoning, to grow or develop quickly; flourish: The town burgeoned into a city. He burgeoned into a fine actor.
callow, immature or inexperienced: a callow youth.
engender," to produce, cause, or give rise to: Hatred engenders violence."
inchoate, not yet completed or fully developed; rudimentary.
incipient, beginning to exist or appear; in an initial stage: an incipient cold.
nascent, beginning to exist or develop: That nascent republic is holding its first election this month.
acerbic, sour or astringent in taste: Lemon juice is acerbic.
acidious,Definition NOT FOUND
acrimonious," caustic, stinging, or bitter in nature, speech, behavior, etc.: an acrimonious answer; an acrimonious dispute."
mordant," sharply caustic or sarcastic, as wit or a speaker; biting."
trenchant," incisive or keen, as language or a person; caustic; cutting: trenchant wit."
dauntless, not to be daunted or intimidated; fearless; intrepid; bold: a dauntless hero.
banal, devoid of freshness or originality; hackneyed; trite: a banal and sophomoric treatment of courage on the frontier.
hackneyed, made commonplace or trite; stale; banal: the hackneyed images of his poetry.
insipid," without distinctive, interesting, or stimulating qualities; vapid: an insipid personality."
platitiude,Definition NOT FOUND
prosaic, commonplace or dull; matter-of-fact or unimaginative: a prosaic mind.
quotidian, daily: a quotidian report.
trite, lacking in freshness or effectiveness because of constant use or excessive repetition; hackneyed; stale: the trite phrases in his letter.
inscruptable,Definition NOT FOUND
